Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
205,11115,00:16:08.501,968.5014851485148,2.6140390962173115
206,11145,00:16:11.115,971.1155242447321,12.983060844546003
207,11294,00:16:24.098,984.0985850892781,3.833924007785413
208,11338,00:16:27.932,987.9325090970635,5.140943555894069
209,11397,00:16:33.073,993.0734526529576,6.273693830921502
210,11469,00:16:39.347,999.3471464838791,3.6596547347043042
211,11511,00:16:43.006,1003.0068012185834,9.759079292544584
212,11623,00:16:52.765,1012.765880511128,5.228078192434623
213,11683,00:16:57.993,1017.9939587035626,8.539194380976596
214,11781,00:17:06.533,1026.5331530845392,3.921058644325967
215,11826,00:17:10.454,1030.4542117288652,2.875443005839088
216,11859,00:17:13.329,1033.3296547347043,6.186559194380834
217,11930,00:17:19.516,1039.516213929085,11.327502750275016
218,12060,00:17:30.843,1050.84371667936,1.3941541846493237
219,12076,00:17:32.237,1052.2378708640094,1.3070195481086557
220,12091,00:17:33.544,1053.544890412118,2.526904459676871
221,12120,00:17:36.071,1056.071794871795,4.879539646272178
222,12176,00:17:40.951,1060.9513345180671,3.6596547347041906
223,12218,00:17:44.610,1064.6109892527713,5.140943555894182
224,12277,00:17:49.751,1069.7519328086655,3.833924007785299
225,12321,00:17:53.585,1073.5858568164508,3.485385461623082
226,12361,00:17:57.071,1077.071242278074,3.8339240077855266
227,12405,00:18:00.905,1080.9051662858594,1.742692730811541
228,12425,00:18:02.647,1082.647859016671,3.1368469154606373
229,12461,00:18:05.784,1085.7847059321316,5.228078192434623
230,12521,00:18:11.012,1091.0127841245662,3.8339240077855266
231,12565,00:18:14.846,1094.8467081323518,3.311116188541746
232,12603,00:18:18.157,1098.1578243208935,4.966674282813074
233,12660,00:18:23.124,1103.1244986037066,5.663751375137508
234,12725,00:18:28.788,1108.788249978844,3.1368469154606373
235,12761,00:18:31.925,1111.9250968943047,4.531001100110188
236,12813,00:18:36.456,1116.456097994415,3.921058644325967
237,12858,00:18:40.377,1120.3771566387409,4.269597190488184
238,12907,00:18:44.646,1124.646753829229,2.9625776423795287
239,12941,00:18:47.609,1127.6093314716086,3.2239815520015327
240,12978,00:18:50.833,1130.8333130236101,2.091231276973758
241,13002,00:18:52.924,1132.9245443005839,4.70527037319107
242,13056,00:18:57.629,1137.629814673775,3.0497122789201967
243,13091,00:19:00.679,1140.6795269526951,2.962577642379756
244,13125,00:19:03.642,1143.642104595075,5.925155284759285
245,13193,00:19:09.567,1149.5672598798342,3.1368469154606373
246,13229,00:19:12.704,1152.7041067952948,4.705270373191297
